Iteration,A* Time (seconds),A* Memory (MB),Bidirectional Time (seconds),Bidirectional Memory (MB)
1,5.0067901611328125e-05,3.2e-05,3.218650817871094e-05,3.2e-05
2,9.72747802734375e-05,0.0,0.00020623207092285156,0.0
3,9.083747863769531e-05,0.0,0.00017452239990234375,0.0
4,8.726119995117188e-05,0.0,0.00018334388732910156,0.0
5,7.581710815429688e-05,0.0,0.00015282630920410156,0.0
6,0.0001220703125,0.0,0.00018262863159179688,0.0
7,7.176399230957031e-05,0.0,0.00018310546875,0.0
8,7.319450378417969e-05,0.0,0.0001513957977294922,0.0
9,7.05718994140625e-05,0.0,0.00018072128295898438,0.0
10,6.961822509765625e-05,0.0,0.00017380714416503906,0.0
11,8.463859558105469e-05,0.0,0.0001480579376220703,0.0
12,6.723403930664062e-05,0.0,0.00015783309936523438,0.0
13,6.747245788574219e-05,0.0,0.0001614093780517578,0.0
14,7.200241088867188e-05,0.0,0.00016498565673828125,0.000539
15,9.417533874511719e-05,0.0,0.00016188621520996094,0.0
16,7.152557373046875e-05,0.0,0.00017189979553222656,0.0
17,6.771087646484375e-05,0.0,0.00013494491577148438,0.0
18,7.200241088867188e-05,0.0,0.0002090930938720703,0.0
19,7.152557373046875e-05,0.0,0.0001652240753173828,0.0
20,6.890296936035156e-05,0.0,0.00016379356384277344,0.0
21,6.914138793945312e-05,0.0,0.00016498565673828125,0.0
22,8.344650268554688e-05,0.0,0.00015974044799804688,0.0
23,6.914138793945312e-05,0.0,0.00016021728515625,0.0
24,6.842613220214844e-05,0.0,0.00015974044799804688,0.0
25,6.747245788574219e-05,0.0,0.000156402587890625,0.0
26,6.914138793945312e-05,0.0,0.00015878677368164062,0.0
27,6.914138793945312e-05,0.0,0.0001590251922607422,0.0
28,7.176399230957031e-05,0.0,0.00016570091247558594,0.0
29,6.747245788574219e-05,0.0,0.00015997886657714844,0.0
30,6.771087646484375e-05,0.0,0.00013256072998046875,0.0
31,4.482269287109375e-05,0.0,7.200241088867188e-05,0.0
32,5.030632019042969e-05,0.0,7.367134094238281e-05,0.0
33,3.337860107421875e-05,0.0,7.295608520507812e-05,0.0
34,3.838539123535156e-05,0.0,6.961822509765625e-05,0.0
35,3.3855438232421875e-05,0.0,7.128715515136719e-05,0.0
36,3.3855438232421875e-05,0.0,7.557868957519531e-05,0.0
37,4.267692565917969e-05,0.0,7.486343383789062e-05,0.0
38,4.0531158447265625e-05,0.0,7.843971252441406e-05,0.0
39,3.147125244140625e-05,0.0,7.915496826171875e-05,0.0
40,3.24249267578125e-05,0.0,7.653236389160156e-05,0.0
41,3.266334533691406e-05,0.0,7.390975952148438e-05,0.0
42,3.1948089599609375e-05,0.0,7.486343383789062e-05,0.0
43,3.218650817871094e-05,0.0,9.679794311523438e-05,0.0
44,3.147125244140625e-05,0.0,6.127357482910156e-05,0.0
45,3.0994415283203125e-05,0.0,7.963180541992188e-05,0.0
46,3.0517578125e-05,0.0,7.319450378417969e-05,0.0
47,3.0994415283203125e-05,0.0,7.557868957519531e-05,0.0
48,3.170967102050781e-05,0.0,6.508827209472656e-05,0.0
49,3.170967102050781e-05,0.0,6.246566772460938e-05,0.0
50,3.147125244140625e-05,0.0,6.699562072753906e-05,0.0
51,3.147125244140625e-05,0.0,6.270408630371094e-05,0.0
52,3.123283386230469e-05,0.0,7.081031799316406e-05,0.0
53,3.0517578125e-05,0.0,7.224082946777344e-05,0.0
54,3.147125244140625e-05,0.0,7.2479248046875e-05,0.0
55,3.147125244140625e-05,0.0,5.841255187988281e-05,0.0
56,3.0994415283203125e-05,0.0,7.081031799316406e-05,0.0
57,3.123283386230469e-05,0.0,6.151199340820312e-05,0.0
58,3.337860107421875e-05,0.0,7.43865966796875e-05,0.0
59,3.147125244140625e-05,0.0,6.771087646484375e-05,0.0
60,3.075599670410156e-05,0.0,6.747245788574219e-05,0.0
61,3.147125244140625e-05,0.0,6.818771362304688e-05,0.0
62,3.170967102050781e-05,0.0,7.271766662597656e-05,0.0
63,3.0994415283203125e-05,0.0,7.200241088867188e-05,0.0
64,3.1948089599609375e-05,0.0,7.081031799316406e-05,0.0
65,5.078315734863281e-05,0.0,0.00014257431030273438,0.0
66,3.647804260253906e-05,0.0,7.271766662597656e-05,0.0
67,3.2901763916015625e-05,0.0,7.653236389160156e-05,0.0
68,3.4332275390625e-05,0.0,7.62939453125e-05,0.0
69,5.245208740234375e-05,0.0,7.700920104980469e-05,0.0
70,3.3855438232421875e-05,0.0,9.107589721679688e-05,0.0
71,3.218650817871094e-05,0.0,6.198883056640625e-05,0.0
72,3.24249267578125e-05,0.0,8.726119995117188e-05,0.0
73,3.24249267578125e-05,0.0,6.0558319091796875e-05,0.0
74,3.0517578125e-05,0.0,7.2479248046875e-05,0.0
75,3.1948089599609375e-05,0.0,7.104873657226562e-05,0.0
76,3.123283386230469e-05,0.0,7.224082946777344e-05,0.0
77,3.0994415283203125e-05,0.0,7.367134094238281e-05,0.0
78,3.123283386230469e-05,0.0,7.295608520507812e-05,0.0
79,3.075599670410156e-05,0.0,7.152557373046875e-05,0.0
80,3.123283386230469e-05,0.0,7.915496826171875e-05,0.0
81,3.218650817871094e-05,0.0,7.367134094238281e-05,0.0
82,3.075599670410156e-05,0.0,8.821487426757812e-05,0.0
83,3.0994415283203125e-05,0.0,7.033348083496094e-05,0.0
84,3.123283386230469e-05,0.0,7.700920104980469e-05,0.0
85,3.147125244140625e-05,0.0,5.984306335449219e-05,0.0
86,3.170967102050781e-05,0.0,7.200241088867188e-05,0.0
87,3.0994415283203125e-05,0.0,7.009506225585938e-05,0.0
88,3.075599670410156e-05,0.0,7.176399230957031e-05,0.0
89,3.147125244140625e-05,0.0,6.008148193359375e-05,0.0
90,3.1948089599609375e-05,0.0,7.224082946777344e-05,0.0
91,3.075599670410156e-05,0.0,6.031990051269531e-05,0.0
92,3.719329833984375e-05,0.0,7.2479248046875e-05,0.0
93,3.0279159545898438e-05,0.0,7.128715515136719e-05,0.0
94,3.0517578125e-05,0.0,7.128715515136719e-05,0.0
95,3.123283386230469e-05,0.0,7.05718994140625e-05,0.0
96,3.170967102050781e-05,0.0,6.604194641113281e-05,0.0
97,4.9591064453125e-05,0.0,0.00010776519775390625,0.0
98,6.079673767089844e-05,0.0,7.772445678710938e-05,0.0
99,3.337860107421875e-05,0.0,7.486343383789062e-05,0.0
100,3.337860107421875e-05,0.0,6.318092346191406e-05,0.0
101,3.3855438232421875e-05,0.0,6.0558319091796875e-05,0.0
102,3.1948089599609375e-05,0.0,5.698204040527344e-05,0.0
103,3.647804260253906e-05,0.0,7.939338684082031e-05,0.0
104,3.361701965332031e-05,0.0,7.557868957519531e-05,0.0
105,3.0994415283203125e-05,0.0,6.866455078125e-05,0.0
106,3.123283386230469e-05,0.0,6.794929504394531e-05,0.0
107,3.1948089599609375e-05,0.0,7.343292236328125e-05,0.0
108,3.170967102050781e-05,0.0,6.008148193359375e-05,0.0
109,3.1948089599609375e-05,0.0,7.200241088867188e-05,0.0
110,3.123283386230469e-05,0.0,6.031990051269531e-05,0.0
111,3.0994415283203125e-05,0.0,6.0558319091796875e-05,0.0
112,3.075599670410156e-05,0.0,7.033348083496094e-05,0.0
113,3.123283386230469e-05,0.0,6.0558319091796875e-05,0.0
114,3.266334533691406e-05,0.0,7.796287536621094e-05,0.0
115,3.218650817871094e-05,0.0,6.628036499023438e-05,0.0
116,3.409385681152344e-05,0.0,7.176399230957031e-05,0.0
117,3.147125244140625e-05,0.0,7.176399230957031e-05,0.0
118,4.3392181396484375e-05,0.0,7.176399230957031e-05,0.0
119,3.075599670410156e-05,0.0,7.128715515136719e-05,0.0
120,4.839897155761719e-05,0.0,7.081031799316406e-05,0.0
121,3.075599670410156e-05,0.0,6.67572021484375e-05,0.0
122,4.291534423828125e-05,0.0,6.604194641113281e-05,0.0
123,3.170967102050781e-05,0.0,7.343292236328125e-05,0.0
124,4.458427429199219e-05,0.0,7.414817810058594e-05,0.0
125,3.123283386230469e-05,0.0,6.222724914550781e-05,0.0
126,0.009124755859375,0.001999,0.00022530555725097656,0.0
127,2.8848648071289062e-05,3.2e-05,3.9577484130859375e-05,3.2e-05
128,0.0009968280792236328,3.2e-05,0.00046324729919433594,6.4e-05
129,0.0026798248291015625,6.4e-05,0.0013794898986816406,0.000128
130,0.001262664794921875,3.2e-05,0.0002834796905517578,6.4e-05
131,0.0006527900695800781,6.4e-05,0.0002872943878173828,9.6e-05
132,0.0002853870391845703,3.2e-05,0.0001475811004638672,3.2e-05
133,0.00013494491577148438,3.2e-05,6.246566772460938e-05,3.2e-05
134,0.0003666877746582031,3.2e-05,0.0002117156982421875,6.4e-05
135,0.00019669532775878906,3.2e-05,0.00012755393981933594,3.2e-05
136,0.001287698745727539,6.4e-05,0.00045752525329589844,9.6e-05
137,0.0007417201995849609,6.4e-05,0.0004169940948486328,9.6e-05
138,0.0015256404876708984,6.4e-05,0.0006520748138427734,0.000128
139,0.0022068023681640625,0.093805,0.0019137859344482422,0.001104
140,0.017866849899291992,0.001712,0.0010325908660888672,0.0
141,0.003632783889770508,0.000128,0.0016794204711914062,9.6e-05
142,0.019695520401000977,0.001712,0.00017499923706054688,0.0
143,0.011394500732421875,0.004205,0.0022242069244384766,0.000745
144,0.007306575775146484,0.000128,0.0019404888153076172,0.000128
145,0.002551555633544922,0.000128,0.001934051513671875,0.000128
146,0.0020339488983154297,0.000128,0.0015635490417480469,0.000128
147,0.0065271854400634766,0.001696,0.0027840137481689453,0.000384
148,0.004811286926269531,0.000128,0.002565145492553711,0.00032
149,0.005132198333740234,0.000192,0.0025429725646972656,0.000352
150,0.0033369064331054688,0.000128,0.002020597457885742,0.000192
151,0.0027642250061035156,0.005107,0.002208709716796875,0.000713
152,0.0018553733825683594,0.000128,0.0014073848724365234,0.000128
153,0.00012111663818359375,3.2e-05,6.008148193359375e-05,3.2e-05
154,0.0012378692626953125,6.4e-05,0.0004596710205078125,9.6e-05
155,0.007875204086303711,0.002184,0.0026063919067382812,0.000384
156,0.007153987884521484,0.002016,0.002451658248901367,0.000384
157,0.0011205673217773438,6.4e-05,0.0005702972412109375,9.6e-05
158,0.000789642333984375,6.4e-05,0.000507354736328125,9.6e-05
159,0.0009696483612060547,6.4e-05,0.00048232078552246094,9.6e-05
160,0.0006864070892333984,6.4e-05,0.0004725456237792969,9.6e-05
161,0.0014290809631347656,0.000128,0.0007336139678955078,0.000128
162,0.007833719253540039,0.00212,0.0022144317626953125,0.000224
163,0.007165431976318359,0.002758,0.0024900436401367188,0.00069
164,0.007871866226196289,0.002208,0.0022695064544677734,0.000224
165,0.0021371841430664062,0.000128,0.0016913414001464844,0.000128
166,0.0025496482849121094,0.000128,0.0016455650329589844,0.00016
167,0.006291866302490234,0.002336,0.002227783203125,0.000192
168,0.007119894027709961,0.002208,0.0024871826171875,0.000352
169,0.006140470504760742,0.001744,0.002579212188720703,0.000352
170,0.00814676284790039,0.00244,0.0022335052490234375,0.00032
171,0.005194664001464844,0.000192,0.002111673355102539,0.000224
172,0.0018291473388671875,0.000128,0.0008993148803710938,0.000128
173,0.008186101913452148,0.001712,0.0002942085266113281,0.0
174,0.008067846298217773,0.001712,0.00030517578125,0.0
175,0.007944107055664062,0.001712,0.00028705596923828125,0.0
176,0.004622220993041992,0.000192,0.0019474029541015625,0.00016
177,0.004220008850097656,0.000192,0.0019693374633789062,0.005075
178,0.0073969364166259766,0.000192,0.004027128219604492,0.00016
179,0.013229131698608398,0.001712,0.0004458427429199219,0.0
180,0.008124351501464844,0.001712,0.0004343986511230469,0.0
